,strong,ztjs,lbgd,Day,df_num
0,38,51,6,2021-12-24,15
1,55,70,9,2021-12-23,23
2,79,78,13,2021-12-22,44
3,100,136,12,2021-12-21,6
4,84,99,11,2021-12-20,18
5,71,85,10,2021-12-17,11
6,82,88,9,2021-12-16,5
7,65,79,8,2021-12-15,15
8,75,92,7,2021-12-14,3
9,61,79,6,2021-12-13,7
10,55,68,5,2021-12-10,1
11,61,68,7,2021-12-09,3
12,63,82,6,2021-12-08,1
13,44,52,5,2021-12-07,4
14,34,39,6,2021-12-06,4
15,52,55,5,2021-12-03,12
16,43,53,5,2021-12-02,15
17,61,86,4,2021-12-01,6
18,59,70,5,2021-11-30,6
19,45,70,5,2021-11-29,6
20,41,51,4,2021-11-26,9
21,57,58,9,2021-11-25,13
22,59,78,8,2021-11-24,1
23,56,59,7,2021-11-23,4
24,61,87,6,2021-11-22,4
25,58,70,5,2021-11-19,2
26,40,52,4,2021-11-18,9
27,62,94,4,2021-11-17,5
28,40,60,4,2021-11-16,11
29,66,77,7,2021-11-15,14
30,61,84,6,2021-11-12,4
31,64,71,8,2021-11-11,8
32,55,47,7,2021-11-10,1
33,60,60,6,2021-11-09,3
34,52,57,5,2021-11-08,4
35,48,50,4,2021-11-05,6
36,65,97,5,2021-11-04,2
37,46,47,4,2021-11-03,2
38,34,44,3,2021-11-02,12
39,63,91,3,2021-11-01,2
40,68,68,10,2021-10-29,5
41,39,39,9,2021-10-28,10
42,38,41,8,2021-10-27,3
43,39,31,7,2021-10-26,9
44,53,64,6,2021-10-25,1
45,35,40,5,2021-10-22,8
46,50,40,11,2021-10-21,0
47,50,48,10,2021-10-20,3
48,57,66,9,2021-10-19,6
49,59,75,8,2021-10-18,3
50,35,29,7,2021-10-15,12
51,55,74,6,2021-10-14,1
52,49,57,5,2021-10-13,2
53,31,35,4,2021-10-12,6
54,43,46,3,2021-10-11,6
55,53,64,3,2021-10-08,16
56,59,73,5,2021-09-30,5
57,21,18,4,2021-09-29,16
58,47,71,3,2021-09-28,0
59,28,40,2,2021-09-27,23
60,48,41,13,2021-09-24,10
61,74,70,12,2021-09-23,12
62,72,97,11,2021-09-22,1
63,52,47,10,2021-09-17,11
64,45,46,9,2021-09-16,17
65,60,90,8,2021-09-15,10
66,48,63,7,2021-09-14,7
67,59,86,6,2021-09-13,1
68,47,53,6,2021-09-10,6
69,51,71,5,2021-09-09,5
70,67,89,5,2021-09-08,2
