,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
300807.SZ,天迈科技,10.0,10,9.9933377748168,2020-01-03 09:30:00,3553649.0,20200103,True,False,-4.7547,6.5342,-2.522,-2.5566,-5.2946,0.0,-4.7547
002972.SZ,科安达,10.0,4,9.986382206082611,2020-01-03 09:30:00,2314913.0,20200103,True,False,10.0,10.0,-3.1378,0.2465,-6.2522,0.0,16.8622
002385.SZ,大北农,10.0,3,10.03649635036496,2020-01-03 09:30:00,77997376.0,20200103,True,False,10.0,10.0,10.0,-7.3566,-8.6137,0.0,22.6434
300811.SZ,铂科新材,10.0,3,10.002188662727074,2020-01-03 09:30:00,1662073.0,20200103,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
600223.SH,鲁商发展,3.12837109,3,10.032362459546922,2020-01-03 09:30:00,,20200103,True,False,10.0,-1.4259,-10.0,2.7867,3.024,-6.87162891,1.70247109
000998.SZ,隆平高科,10.0,2,10.012360939431405,2020-01-03 09:30:00,14402290.0,20200103,True,False,10.0,2.9111,-9.8759,1.4317,-2.4973,0.0,12.9111
002878.SZ,元隆雅图,10.0,2,9.993868792152071,2020-01-03 09:30:00,618650.0,20200103,True,False,7.2185,0.8058,-6.6013,2.1535,10.0,0.0,7.2185
600095.SH,湘财股份,1.38888889,2,10.0,2020-01-03 09:30:00,,20200103,True,False,-4.0183,2.2835,-7.2558,-1.3039,-1.7276,-8.61111111,-12.62941111
603109.SH,神驰机电,10.0,2,9.993131868131869,2020-01-03 09:30:15,1900727.0,20200103,False,True,-5.8071,-2.9831,-6.0471,-0.4727,-0.0365,0.0,-5.8071
603366.SH,日出东方,10.0,3,8.426073131955489,2020-01-03 09:30:30,6116997.0,20200103,False,False,9.8266,3.9474,10.0,0.1151,-10.0,0.0,9.8266
000716.SZ,黑芝麻,7.42358079,4,9.606986899563308,2020-01-03 09:32:15,,20200103,False,False,-6.0976,1.7316,-8.7234,2.331,-5.9226,-2.57641921,-8.67401921
600053.SH,九鼎投资,10.0,3,6.435466571326423,2020-01-03 09:32:15,444856.0,20200103,False,False,-3.6399,6.3744,-9.7971,1.5817,0.7612,0.0,-3.6399
002291.SZ,星期六,10.0,2,9.981515711645102,2020-01-03 09:32:45,1369010.0,20200103,False,False,-1.2605,-0.4255,-2.0085,10.0,-6.027,0.0,-1.2605
002972.SZ,科安达,10.0,5,9.987618654560455,2020-01-06 09:30:00,6411070.0,20200106,True,False,10.0,-3.1378,0.2465,-6.2522,-1.1615,0.0,6.8622
002385.SZ,大北农,10.0,4,9.9502487562189,2020-01-06 09:30:00,120985438.0,20200106,True,False,10.0,10.0,-7.3566,-8.6137,1.0309,0.0,12.6434
300811.SZ,铂科新材,10.0,4,10.007958615200957,2020-01-06 09:30:00,1635373.0,20200106,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
000998.SZ,隆平高科,10.0,3,9.999999999999988,2020-01-06 09:30:00,17518093.0,20200106,True,False,2.9111,-9.8759,1.4317,-2.4973,2.7283,0.0,2.9111
603920.SH,世运电路,10.0,2,9.999999999999995,2020-01-06 09:30:00,5579537.0,20200106,True,False,10.0,-1.7889,-6.6667,-2.2248,6.8263,0.0,8.2111
600313.SH,农发种业,10.0,2,7.038123167155419,2020-01-06 09:32:00,8592150.0,20200106,False,True,-4.0,-9.7222,0.3077,-2.454,1.2579,0.0,-4.0
603825.SH,华扬联众,10.0,2,0.34158838599486885,2020-01-06 09:41:30,1466201.0,20200106,False,False,-3.4161,-6.1495,-0.5139,-2.4968,2.6049,0.0,-3.4161
603366.SH,日出东方,9.8265896,4,2.4566473988439297,2020-01-06 10:44:00,,20200106,False,False,3.9474,10.0,0.1151,-10.0,2.1711,-0.17341039999999985,3.7739896
