,股票简称,昨首停,昨收,昨开,前连板,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
003026.SZ,中晶科技,2021-01-05 09:30:00,10.00385505,10.003855050115646,11,5047965.0,20210105,True,False,10.0053,10.0032,10.0058,8.5823,5.5522
600655.SH,豫园股份,2021-01-05 09:30:00,10.0204499,10.020449897750517,2,46861216.0,20210105,True,False,10.0372,9.9662,9.9846,-2.8631,-2.0129
002703.SZ,浙江世宝,2021-01-05 09:30:00,-3.10559006,9.93788819875776,2,,20210105,True,False,-9.9359,1.0676,-4.7535,9.9815,2.521
002625.SZ,光启技术,2021-01-05 09:30:00,1.2254902,10.00816993464052,2,,20210105,True,False,10.0081,-0.2201,0.6618,-1.9357,0.4842
002497.SZ,雅化集团,2021-01-05 09:30:00,10.02070393,10.02070393374742,3,16751377.0,20210105,True,False,8.9575,3.2124,-4.8193,-9.9859,3.3203
600405.SH,动力源,2021-01-05 09:30:00,10.02747253,10.027472527472522,3,20314106.0,20210105,True,False,-5.7428,10.0662,-8.3032,-4.1995,-7.3973
605179.SH,一鸣食品,2021-01-05 09:30:00,9.98455996,9.984559958826562,5,8994370.0,20210105,True,False,10.014,9.9957,-10.0155,-10.0129,-1.1461
003028.SZ,振邦智能,2021-01-05 09:30:00,10.0087222,10.008722197993903,5,5802812.0,20210105,True,False,10.0099,-10.0,-9.99,-9.6753,-8.3969
003029.SZ,吉大正元,2021-01-05 09:30:00,10.0173913,10.017391304347822,7,9969958.0,20210105,True,False,9.9905,-10.0029,-9.9968,-8.4457,-10.0
600381.SH,青海春天,2021-01-05 09:31:30,7.49736008,9.926082365364302,5,,20210105,False,True,-10.0196,-9.4978,0.2413,-9.988,0.2674
000591.SZ,太阳能,2021-01-05 09:31:45,-1.5,6.25,2,,20210105,False,False,5.0761,-4.9517,-4.5743,-5.0599,0.2805
002342.SZ,巨力索具,2021-01-05 09:33:15,9.95670996,9.956709956709956,3,10495800.0,20210105,False,False,10.0394,10.0179,-4.5528,-10.0511,10.0379
002401.SZ,中远海科,2021-01-05 09:33:30,10.02102313,10.02102312543798,2,1728000.0,20210105,False,False,-10.0,-3.9632,-1.6212,2.1723,-2.4927
601375.SH,中原证券,2021-01-05 09:35:15,-1.16580311,5.569948186528505,2,,20210105,False,False,-9.9607,-8.0058,-3.0063,0.8157,1.4563
600696.SH,岩石股份,2021-01-05 09:38:45,4.96338487,0.8950366151342654,4,799815.0,20210105,False,False,-0.6202,4.9922,4.9777,-0.2831,-4.9681
600399.SH,抚顺特钢,2021-01-05 09:40:30,4.98402556,4.6006389776357866,2,1701749.0,20210105,False,False,2.1302,-1.6687,-4.303,2.9132,4.9846
600779.SH,水井坊,2021-01-05 09:42:15,9.9978099,4.029785370127033,2,345861.0,20210105,False,False,-0.6471,-2.7154,-4.3156,-3.014,4.6948
600238.SH,海南椰岛,2021-01-05 10:00:15,-3.930131,3.056768558951958,3,,20210105,False,False,-5.0,4.9043,5.0171,-4.9946,-3.4286
002013.SZ,中航机电,2021-01-05 10:07:48,8.25396825,3.2539682539682553,2,,20210105,False,False,-1.6862,-0.5966,-3.2258,-1.8605,3.4755
600320.SH,振华重工,2021-01-05 10:42:20,3.82653061,2.040816326530614,2,,20210105,False,False,-9.3366,3.794,-5.7441,-6.3712,2.071
003026.SZ,中晶科技,2021-01-06 09:30:00,10.0052567,10.005256702295428,12,3676679.0,20210106,True,False,10.0032,10.0058,8.5823,5.5522,10.0034
003029.SZ,吉大正元,2021-01-06 09:30:00,9.99051533,9.990515333544105,8,9239807.0,20210106,True,False,-10.0029,-9.9968,-8.4457,-10.0,1.9811
003028.SZ,振邦智能,2021-01-06 09:30:00,10.0099108,10.00991080277502,6,5991778.0,20210106,True,False,-10.0,-9.99,-9.6753,-8.3969,3.9785
605179.SH,一鸣食品,2021-01-06 09:30:00,10.01403837,10.014038371548903,6,3316853.0,20210106,True,False,9.9957,-10.0155,-10.0129,-1.1461,5.0242
002497.SZ,雅化集团,2021-01-06 09:30:00,8.95747083,10.011290929619872,4,,20210106,True,False,3.2124,-4.8193,-9.9859,3.3203,-2.3819
600655.SH,豫园股份,2021-01-06 09:30:00,10.03717472,10.037174721189592,3,42631124.0,20210106,True,False,9.9662,9.9846,-2.8631,-2.0129,4.2553
003031.SZ,中瓷电子,2021-01-06 09:30:00,10.00413394,10.004133939644474,2,5662820.0,20210106,True,False,9.9962,10.0102,10.0,9.9944,10.0103
002505.SZ,鹏都农牧,2021-01-06 09:30:30,5.88235294,7.843137254901953,2,,20210106,False,True,-9.8765,-4.1096,-0.3571,-0.7168,-5.7762
600696.SH,岩石股份,2021-01-06 09:31:15,-0.62015504,5.0387596899224825,5,,20210106,False,False,4.9922,4.9777,-0.2831,-4.9681,-5.0037
002342.SZ,巨力索具,2021-01-06 09:47:45,10.03937008,0.1968503937007832,4,12665789.0,20210106,False,False,10.0179,-4.5528,-10.0511,10.0379,9.9828
