,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
003035.SZ,南网能源,2021-02-02 09:30:00,10.08403361,10,126353729.0,10.084033613445387,20210202,True,False,9.9237,10.0694,9.9369,6.1693,10.0
003036.SZ,泰坦股份,2021-02-02 09:30:00,10.03009027,3,8684277.0,10.030090270812437,20210202,True,False,10.0273,10.0249,10.0151,-9.9932,-3.9544
603843.SH,正平股份,2021-02-02 09:30:00,9.97624703,2,8914975.0,9.976247030878858,20210202,True,False,-9.9352,-9.8321,1.8617,-4.6997,-0.5479
605055.SH,迎丰股份,2021-02-02 09:30:00,9.96068152,2,5597641.0,9.960681520314557,20210202,True,False,10.0119,9.9675,-9.9507,-5.9081,-3.7209
002256.SZ,兆新股份,2021-02-02 09:30:45,4.86111111,3,10457296.0,4.1666666666666705,20210202,False,True,-5.298,4.8951,5.3333,-1.2658,-4.4872
002360.SZ,同德化工,2021-02-02 09:33:00,9.98877666,2,5225147.0,6.397306397306401,20210202,False,False,1.9388,10.01,-10.0091,-4.1456,2.5316
603016.SH,新宏泰,2021-02-02 09:35:30,10.01602564,3,1743421.0,2.3637820512820507,20210202,False,False,-9.3227,3.6546,3.332,-1.6123,0.0762
000890.SZ,法尔胜,2021-02-02 14:00:06,4.96277916,2,700398.0,-0.24813895781639392,20210202,False,False,4.9645,4.955,4.9356,4.908,5.0682
605155.SH,西大门,2021-02-02 14:53:52,9.9937539,2,213450.0,2.6858213616489675,20210202,False,False,-0.7666,-9.9857,-10.0127,-9.9965,0.2747
003035.SZ,南网能源,2021-02-03 09:30:00,9.92366412,11,94390437.0,9.923664122137396,20210203,True,False,10.0694,9.9369,6.1693,10.0,-9.9509
002256.SZ,兆新股份,2021-02-03 09:30:00,-5.29801325,4,,5.298013245033117,20210203,True,False,4.8951,5.3333,-1.2658,-4.4872,1.3423
003036.SZ,泰坦股份,2021-02-03 09:30:00,10.02734731,4,25399101.0,10.027347310847764,20210203,True,False,10.0249,10.0151,-9.9932,-3.9544,-9.9762
605055.SH,迎丰股份,2021-02-03 09:30:00,10.01191895,3,594608.0,10.011918951132298,20210203,True,False,9.9675,-9.9507,-5.9081,-3.7209,4.7101
600280.SH,中央商场,2021-02-03 09:30:00,0,2,,5.078124999999996,20210203,True,False,-1.9531,0.3984,1.1905,-1.1765,2.381
002445.SZ,中南文化,2021-02-03 09:31:00,0.55248619,2,,2.2099447513812174,20210203,False,True,-1.0989,2.2222,-1.087,-2.7473,1.6949
002360.SZ,同德化工,2021-02-03 09:31:15,1.93877551,3,,9.18367346938774,20210203,False,False,10.01,-10.0091,-4.1456,2.5316,-9.9794
600545.SH,卓郎智能,2021-02-03 09:32:00,-6.26780627,2,,2.5641025641025728,20210203,False,False,-10.0304,-1.0135,-2.7304,3.1579,0.6803
600702.SH,舍得酒业,2021-02-03 09:37:00,5.00563134,2,623726.0,2.6154423726692575,20210203,False,False,1.013,5.0024,-1.0337,-1.2262,-2.4368
000890.SZ,法尔胜,2021-02-03 10:02:00,4.96453901,3,123785.0,0.47281323877067544,20210203,False,False,4.955,4.9356,4.908,5.0682,-5.0093
601015.SH,陕西黑猫,2021-02-03 10:12:00,10.06711409,2,5798495.0,-5.77181208053692,20210203,False,False,10.0,-9.7561,9.9509,10.0559,-1.4213
002331.SZ,皖通科技,2021-02-03 13:06:12,10.00613874,2,437298.0,1.2891344383057144,20210203,False,False,3.7388,-10.0054,-9.9821,-10.0266,-9.9631
003000.SZ,劲仔食品,2021-02-03 14:51:11,9.98104864,2,247900.0,0.0,20210203,False,False,9.9943,-1.8277,-6.9149,2.8571,10.0
003035.SZ,南网能源,2021-02-04 09:30:00,10.06944444,12,72248483.0,10.069444444444446,20210204,True,False,9.9369,6.1693,10.0,-9.9509,-2.0464
003036.SZ,泰坦股份,2021-02-04 09:30:00,10.02485501,5,35680224.0,10.0248550124275,20210204,True,False,10.0151,-9.9932,-3.9544,-9.9762,-2.0229
002289.SZ,宇顺电子,2021-02-04 09:30:00,-0.25940337,3,,5.05836575875486,20210204,True,False,-4.9415,-5.0616,-5.0432,-3.1866,2.0376
600055.SH,万东医疗,2021-02-04 09:30:00,9.97328584,2,24650880.0,9.973285841495985,20210204,True,False,10.0405,2.4283,9.9856,-8.1646,-2.7027
600702.SH,舍得酒业,2021-02-04 09:32:00,1.01299011,3,,4.755094744368978,20210204,False,True,5.0024,-1.0337,-1.2262,-2.4368,-4.9953
002341.SZ,新纶新材,2021-02-04 09:33:00,-2.21606648,2,,3.3240997229916927,20210204,False,False,-9.915,-9.434,4.1667,10.0,2.1212
601015.SH,陕西黑猫,2021-02-04 09:33:45,10,3,7967735.0,5.609756097560987,20210204,False,False,-9.7561,9.9509,10.0559,-1.4213,9.9897
000572.SZ,海马汽车,2021-02-04 09:46:15,5.10948905,2,,2.189781021897796,20210204,False,False,-3.125,0.3584,0.3571,-1.4235,5.0542
605055.SH,迎丰股份,2021-02-04 09:50:00,9.96749729,4,2461591.0,-6.825568797399791,20210204,False,False,-9.9507,-5.9081,-3.7209,4.7101,10.0346
600166.SH,福田汽车,2021-02-04 10:05:17,5.68862275,2,,1.4970059880239601,20210204,False,False,-3.3994,0.0,9.9707,2.1333,5.483
003000.SZ,劲仔食品,2021-02-04 13:00:22,9.99425617,3,1396916.0,2.2400919012062066,20210204,False,False,-1.8277,-6.9149,2.8571,10.0,-10.0
000890.SZ,法尔胜,2021-02-04 14:08:52,4.95495495,4,1216300.0,0.4504504504504408,20210204,False,False,4.9356,4.908,5.0682,-5.0093,-5.0781
003036.SZ,泰坦股份,2021-02-05 09:30:00,10.01506024,6,27982140.0,10.015060240963855,20210205,True,False,-9.9932,-3.9544,-9.9762,-2.0229,2.4237
600055.SH,万东医疗,2021-02-05 09:30:00,10.04048583,3,18768000.0,10.040485829959517,20210205,True,False,2.4283,9.9856,-8.1646,-2.7027,-3.5088
003035.SZ,南网能源,2021-02-05 09:30:30,9.93690852,13,51116840.0,5.678233438485809,20210205,False,True,6.1693,10.0,-9.9509,-2.0464,-6.6852
003000.SZ,劲仔食品,2021-02-05 09:35:45,-1.82767624,4,,7.467362924281983,20210205,False,False,-6.9149,2.8571,10.0,-10.0,-9.6521
000890.SZ,法尔胜,2021-02-05 10:01:31,4.93562232,5,915600.0,1.9313304721030011,20210205,False,False,4.908,5.0682,-5.0093,-5.0781,-4.9383
600315.SH,上海家化,2021-02-05 14:10:20,8.22323462,2,,2.6423690205011474,20210205,False,False,3.494,0.183,4.4458,2.7794,-1.2859
000812.SZ,陕西金叶,2021-02-05 14:25:08,0.24509804,2,,1.715686274509811,20210205,False,False,-8.802,3.7534,-6.7183,4.9861,5.5409
003036.SZ,泰坦股份,2021-02-08 09:30:00,-9.99315537,7,,9.993155373032176,20210208,True,False,-3.9544,-9.9762,-2.0229,2.4237,-2.0158
000908.SZ,景峰医药,2021-02-08 09:30:00,9.92736077,2,2695980.0,9.927360774818405,20210208,True,False,-2.2026,-9.6847,5.7357,0.2358,0.2353
003037.SZ,三和管桩,2021-02-08 09:30:00,9.9901088,2,5752229.0,9.99010880316518,20210208,True,False,9.982,3.0253,10.0,-2.2367,4.6494
003035.SZ,南网能源,2021-02-08 09:30:30,6.16929699,14,,9.756097560975618,20210208,False,True,10.0,-9.9509,-2.0464,-6.6852,1.3433
000890.SZ,法尔胜,2021-02-08 09:32:45,4.90797546,6,4138598.0,4.703476482617596,20210208,False,False,5.0682,-5.0093,-5.0781,-4.9383,1.0823
002532.SZ,天山铝业,2021-02-08 09:58:45,9.95260664,2,4627160.0,0.11848341232227236,20210208,False,False,10.0216,-9.9902,10.0109,9.9901,9.982
000890.SZ,法尔胜,2021-02-09 09:30:00,5.06822612,7,2016469.0,,20210209,True,False,-5.0093,-5.0781,-4.9383,1.0823,-4.9251
003037.SZ,三和管桩,2021-02-09 09:30:00,9.98201439,3,8112829.0,,20210209,True,False,3.0253,10.0,-2.2367,4.6494,-6.6996
000711.SZ,京蓝科技,2021-02-09 09:30:00,10.24390244,2,23123117.0,,20210209,True,False,10.177,10.0402,9.854,9.9668,-9.9698
600916.SH,中国黄金,2021-02-09 09:30:00,9.98735777,2,27867330.0,,20210209,True,False,10.0,10.0313,9.9715,10.0173,9.9686
000892.SZ,欢瑞世纪,2021-02-09 09:30:30,9.88593156,2,13488099.0,,20210209,False,True,10.0346,8.805,-10.1156,1.6077,-9.4937
000428.SZ,华天酒店,2021-02-09 09:35:31,-0.34965035,2,,,20210209,False,False,-4.9123,-1.107,2.9851,-0.7246,-0.7299
002532.SZ,天山铝业,2021-02-09 09:38:31,10.02155172,3,4112220.0,,20210209,False,False,-9.9902,10.0109,9.9901,9.982,3.0253
000890.SZ,法尔胜,2021-02-10 09:30:00,-5.00927644,8,,5.009276437847875,20210210,True,False,-5.0781,-4.9383,1.0823,-4.9251,-3.1532
003037.SZ,三和管桩,2021-02-10 09:30:00,3.02534751,4,,9.975470155355673,20210210,True,False,10.0,-2.2367,4.6494,-6.6996,-5.6689
000711.SZ,京蓝科技,2021-02-10 09:30:00,10.17699115,3,16321498.0,10.176991150442499,20210210,True,False,10.0402,9.854,9.9668,-9.9698,-8.3893
600916.SH,中国黄金,2021-02-10 09:30:00,10,3,21236266.0,10.000000000000012,20210210,True,False,10.0313,9.9715,10.0173,9.9686,9.9929
600722.SH,金牛化工,2021-02-10 09:30:00,10.02132196,2,10885827.0,10.021321961620462,20210210,True,False,10.0775,10.0352,10.08,10.0291,-6.605
605337.SH,李子园,2021-02-10 09:30:00,10.01574803,2,2038180.0,10.015748031496063,20210210,True,False,9.9914,4.2166,-5.6943,-6.3824,-6.6478
600877.SH,声光电科,2021-02-10 09:31:15,4.5941807,2,,3.9816232771822326,20210210,False,True,-3.6603,1.0638,-3.3083,4.9767,2.0
000892.SZ,欢瑞世纪,2021-02-10 09:43:00,10.03460208,3,7491660.0,4.498269896193768,20210210,False,False,8.805,-10.1156,1.6077,-9.4937,-1.3986
000711.SZ,京蓝科技,2021-02-18 09:30:00,10.04016064,4,13305480.0,10.04016064257028,20210218,True,False,9.854,9.9668,-9.9698,-8.3893,-4.0293
