,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
003026.SZ,中晶科技,2021-01-05 09:30:00,10.0,11,5047965.0,10.003855050115646,20210105,True,False,10.0,10.0,10.0,8.5823,5.5522,0.0,38.582300000000004
600655.SH,豫园股份,2021-01-05 09:30:00,10.0,2,46861216.0,10.020449897750517,20210105,True,False,10.0,10.0,10.0,-2.8631,-2.0129,0.0,27.1369
002703.SZ,浙江世宝,2021-01-05 09:30:00,-3.10559006,2,,9.93788819875776,20210105,True,False,-10.0,1.0676,-4.7535,10.0,2.521,-13.10559006,-22.037990060000002
002625.SZ,光启技术,2021-01-05 09:30:00,1.2254902,2,,10.00816993464052,20210105,True,False,10.0,-0.2201,0.6618,-1.9357,0.4842,-8.7745098,1.0053901999999995
002497.SZ,雅化集团,2021-01-05 09:30:00,10.0,3,16751377.0,10.02070393374742,20210105,True,False,8.9575,3.2124,-4.8193,-10.0,3.3203,0.0,8.9575
600405.SH,动力源,2021-01-05 09:30:00,10.0,3,20314106.0,10.027472527472522,20210105,True,False,-5.7428,10.0,-8.3032,-4.1995,-7.3973,0.0,-5.7428
605179.SH,一鸣食品,2021-01-05 09:30:00,10.0,5,8994370.0,9.984559958826562,20210105,True,False,10.0,10.0,-10.0,-10.0,-1.1461,0.0,-1.1461
003028.SZ,振邦智能,2021-01-05 09:30:00,10.0,5,5802812.0,10.008722197993903,20210105,True,False,10.0,-10.0,-10.0,-9.6753,-8.3969,0.0,-19.6753
003029.SZ,吉大正元,2021-01-05 09:30:00,10.0,7,9969958.0,10.017391304347822,20210105,True,False,10.0,-10.0,-10.0,-8.4457,-10.0,0.0,-18.445700000000002
600381.SH,青海春天,2021-01-05 09:31:30,7.49736008,5,,9.926082365364302,20210105,False,True,-10.0,-9.4978,0.2413,-10.0,0.2674,-2.50263992,-22.000439919999998
000591.SZ,太阳能,2021-01-05 09:31:45,-1.5,2,,6.25,20210105,False,False,5.0761,-4.9517,-4.5743,-5.0599,0.2805,-11.5,-6.4239
002342.SZ,巨力索具,2021-01-05 09:33:15,10.0,3,10495800.0,9.956709956709956,20210105,False,False,10.0,10.0,-4.5528,-10.0,10.0,0.0,15.447199999999999
002401.SZ,中远海科,2021-01-05 09:33:30,10.0,2,1728000.0,10.02102312543798,20210105,False,False,-10.0,-3.9632,-1.6212,2.1723,-2.4927,0.0,-13.9632
601375.SH,中原证券,2021-01-05 09:35:15,-1.16580311,2,,5.569948186528505,20210105,False,False,-10.0,-8.0058,-3.0063,0.8157,1.4563,-11.16580311,-29.17160311
600696.SH,岩石股份,2021-01-05 09:38:45,4.96338487,4,799815.0,0.8950366151342654,20210105,False,False,-0.6202,4.9922,4.9777,-0.2831,-4.9681,-5.03661513,-5.65681513
600399.SH,抚顺特钢,2021-01-05 09:40:30,4.98402556,2,1701749.0,4.6006389776357866,20210105,False,False,2.1302,-1.6687,-4.303,2.9132,4.9846,-5.01597444,-2.88577444
600779.SH,水井坊,2021-01-05 09:42:15,10.0,2,345861.0,4.029785370127033,20210105,False,False,-0.6471,-2.7154,-4.3156,-3.014,4.6948,0.0,-0.6471
600238.SH,海南椰岛,2021-01-05 10:00:15,-3.930131,3,,3.056768558951958,20210105,False,False,-5.0,4.9043,5.0171,-4.9946,-3.4286,-13.930131,-18.930131
002013.SZ,中航机电,2021-01-05 10:07:48,8.25396825,2,,3.2539682539682553,20210105,False,False,-1.6862,-0.5966,-3.2258,-1.8605,3.4755,-1.7460317500000002,-3.43223175
600320.SH,振华重工,2021-01-05 10:42:20,3.82653061,2,,2.040816326530614,20210105,False,False,-9.3366,3.794,-5.7441,-6.3712,2.071,-6.17346939,-15.510069390000002
003026.SZ,中晶科技,2021-01-06 09:30:00,10.0,12,3676679.0,10.005256702295428,20210106,True,False,10.0,10.0,8.5823,5.5522,10.0,0.0,28.5823
003029.SZ,吉大正元,2021-01-06 09:30:00,10.0,8,9239807.0,9.990515333544105,20210106,True,False,-10.0,-10.0,-8.4457,-10.0,1.9811,0.0,-28.445700000000002
