,股票简称,昨收,前连板,昨封单,昨开,昨首停,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
001208.SZ,华菱线缆,10.0,6,76066308.0,9.999999999999996,2021-07-02 09:30:00,20210702,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
603171.SH,税友股份,10.0,2,10304954.0,9.9905303030303,2021-07-02 09:30:00,20210702,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605011.SH,杭州热电,10.0,2,20966915.0,10.030706243602872,2021-07-02 09:30:00,20210702,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000062.SZ,深圳华强,-4.51612903,2,,6.989247311827941,2021-07-02 09:30:30,20210702,False,True,-2.9842,-0.9286,0.4101,-0.4084,-1.1131,-14.51612903,-17.50032903
002529.SZ,海源复材,10.0,3,5832699.0,-0.09990009990009777,2021-07-02 09:32:45,20210702,False,False,10.0,-10.0,3.3028,-3.1972,1.9266,0.0,3.3028
603629.SH,利通电子,10.0,2,1459200.0,-2.002503128911141,2021-07-02 10:05:01,20210702,False,False,1.7444,-6.448,-0.9562,-4.2639,-1.9328,0.0,1.7444
688699.SH,明微电子,12.37513873,2,,14.025351948127806,2021-07-02 10:22:01,20210702,False,False,-8.0182,-9.0138,5.587,-0.9941,-0.4813,2.3751387299999998,-5.6430612700000005
001208.SZ,华菱线缆,10.0,7,28537416.0,10.053475935828871,2021-07-05 09:30:00,20210705,True,False,10.0,10.0,10.0,-10.0,2.0276,0.0,22.0276
603171.SH,税友股份,10.0,3,6161702.0,9.98708566508825,2021-07-05 09:30:00,20210705,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605011.SH,杭州热电,10.0,3,11427006.0,10.046511627906977,2021-07-05 09:30:00,20210705,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002176.SZ,江特电机,10.0,2,25283322.0,9.989258861439309,2021-07-05 09:30:00,20210705,True,False,-2.4414,4.3043,1.8234,4.8068,7.2842,0.0,-2.4414
002865.SZ,钧达股份,3.26797386,2,,8.714596949891067,2021-07-05 09:30:30,20210705,False,True,-9.2405,1.1158,2.069,-0.3604,-0.0904,-6.73202614,-15.972526140000001
002529.SZ,海源复材,10.0,4,9044536.0,8.991825613079023,2021-07-05 09:31:30,20210705,False,False,-10.0,3.3028,-3.1972,1.9266,2.1602,0.0,-6.6972000000000005
603629.SH,利通电子,1.74440652,3,,-8.987485779294657,2021-07-05 13:21:36,20210705,False,False,-6.448,-0.9562,-4.2639,-1.9328,2.485,-8.25559348,-14.70359348
001208.SZ,华菱线缆,10.0,8,33336733.0,10.009718172983492,2021-07-06 09:30:00,20210706,True,False,10.0,10.0,-10.0,2.0276,-2.6232,0.0,12.0276
603171.SH,税友股份,10.0,4,5615099.0,10.019569471624262,2021-07-06 09:30:00,20210706,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605011.SH,杭州热电,10.0,4,7175640.0,9.974640743871511,2021-07-06 09:30:00,20210706,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002335.SZ,科华数据,0.47095761,2,,5.9654631083202485,2021-07-06 10:20:18,20210706,False,True,0.0,0.0781,-3.5909,3.8057,-0.975,-9.52904239,-9.52904239
001208.SZ,华菱线缆,10.0,9,7779050.0,9.982332155477023,2021-07-07 09:30:00,20210707,True,False,10.0,-10.0,2.0276,-2.6232,-0.8163,0.0,2.0276
603171.SH,税友股份,10.0,5,4979497.0,9.996442547136258,2021-07-07 09:30:00,20210707,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605011.SH,杭州热电,10.0,5,21689578.0,9.992313604919298,2021-07-07 09:30:00,20210707,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
603324.SH,盛剑环境,10.0,2,1462965.0,9.995329285380667,2021-07-07 09:30:00,20210707,True,False,10.0,7.3152,-5.3237,0.4179,0.8135,0.0,17.3152
002442.SZ,龙星化工,10.0,2,12890700.0,5.049088359046287,2021-07-07 09:30:45,20210707,False,True,-3.699,-4.5033,4.9931,-3.963,1.7882,0.0,-3.699
600767.SH,运盛医疗,5.04885993,2,645700.0,3.094462540716619,2021-07-07 09:38:00,20210707,False,False,-4.9612,5.0571,-1.087,-2.8257,5.0081,-4.95114007,-9.912340069999999
603937.SH,丽岛新材,10.0,2,920200.0,2.738810955243822,2021-07-07 09:39:45,20210707,False,False,-1.3965,-7.9416,-1.7943,-0.6325,-0.1414,0.0,-1.3965
300343.SZ,联创股份,20.0,2,13314424.0,3.5123966942148748,2021-07-07 13:10:48,20210707,False,False,2.4096,-0.8403,11.1864,7.622,-5.8074,10.0,12.409600000000001
603171.SH,税友股份,10.0,6,5742695.0,9.993531694695978,2021-07-08 09:30:00,20210708,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605011.SH,杭州热电,10.0,6,24064196.0,9.99301187980433,2021-07-08 09:30:00,20210708,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
603324.SH,盛剑环境,10.0,3,1325588.0,9.554140127388536,2021-07-08 09:31:45,20210708,False,True,7.3152,-5.3237,0.4179,0.8135,-8.9886,0.0,7.3152
000663.SZ,永安林业,4.96515679,2,575100.0,0.08710801393728038,2021-07-08 14:25:10,20210708,False,False,2.7386,-3.7964,5.0378,-1.0392,0.5654,-5.03484321,-2.29624321
001208.SZ,华菱线缆,10.0,10,624915.0,2.489959839357434,2021-07-08 14:39:03,20210708,False,False,-10.0,2.0276,-2.6232,-0.8163,3.1276,0.0,-7.9724
603171.SH,税友股份,10.0,7,3644898.0,9.99705968832696,2021-07-09 09:30:00,20210709,True,False,10.0,10.0,10.0,10.0,-9.7298,0.0,30.270200000000003
605011.SH,杭州热电,10.0,7,17101136.0,9.97458703939008,2021-07-09 09:30:00,20210709,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002280.SZ,联络互动,10.0,2,15154092.0,10.01353179972938,2021-07-09 09:30:00,20210709,True,False,10.0,-2.5727,-9.2997,-0.7595,-1.2755,0.0,7.4273
605162.SH,新中港,10.0,2,17135733.0,9.989594172736743,2021-07-09 09:30:00,20210709,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
603324.SH,盛剑环境,7.31519012,4,,-7.199382358618035,2021-07-09 10:28:00,20210709,False,True,-5.3237,0.4179,0.8135,-8.9886,1.9588,-2.6848098800000004,-8.00850988
000920.SZ,沃顿科技,10.0,2,6582071.0,2.651113467656416,2021-07-09 14:20:27,20210709,False,False,6.6538,-10.0,-9.3467,1.9956,0.6522,0.0,6.6538
605011.SH,杭州热电,10.0,8,7809296.0,9.994222992489894,2021-07-12 09:30:00,20210712,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
000920.SZ,沃顿科技,6.65380906,3,,10.028929604628745,2021-07-12 09:30:00,20210712,True,False,-10.0,-9.3467,1.9956,0.6522,1.1879,-3.3461909399999996,-22.692890939999998
002280.SZ,联络互动,10.0,3,20113337.0,9.963099630996293,2021-07-12 09:30:00,20210712,True,False,-2.5727,-9.2997,-0.7595,-1.2755,8.0103,0.0,-2.5727
605162.SH,新中港,10.0,3,9958312.0,10.028382213812682,2021-07-12 09:30:00,20210712,True,False,10.0,10.0,10.0,10.0,-0.1762,0.0,39.8238
000551.SZ,创元科技,1.62679426,2,,10.04784688995216,2021-07-12 09:30:00,20210712,True,False,-4.1431,9.8232,-10.0,2.1869,10.0,-8.37320574,-12.51630574
002895.SZ,川恒股份,8.41916704,2,,7.344379758172865,2021-07-12 09:33:30,20210712,False,True,-5.0392,-4.3932,0.091,2.5455,-10.0,-1.5808329600000004,-6.6200329600000005
000017.SZ,深中华A,5.7208238,2,,-3.4324942791762094,2021-07-12 09:57:13,20210712,False,False,-7.7922,-4.2254,1.7157,-3.6145,2.0,-4.2791762,-12.0713762
603171.SH,税友股份,10.0,8,1824058.0,1.5503875968992393,2021-07-12 10:30:10,20210712,False,False,10.0,10.0,10.0,-9.7298,10.0,0.0,20.270200000000003
002850.SZ,科达利,10.0,2,70150.0,0.4976450724251331,2021-07-12 11:09:31,20210712,False,False,10.0,-6.1766,-2.0665,-2.4938,-5.7136,0.0,3.8234000000000004
603171.SH,税友股份,10.0,9,3587034.0,10.012150668286766,2021-07-13 09:30:00,20210713,True,False,10.0,10.0,-9.7298,10.0,-8.2353,0.0,10.2702
