,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
600032.SH,浙江新能,10.0,3,10.012285012285005,2021-09-24 09:30:00,15155291.0,20210924,True,False,-3.2942,3.6952,-10.0,0.8663,-8.5276,0.0,-3.2942
600170.SH,上海建工,10.0,2,9.944751381215465,2021-09-24 09:30:00,58474917.0,20210924,True,False,-9.799,10.0,6.3291,-2.381,-6.0976,0.0,-9.799
600021.SH,上海电力,10.0,3,10.017271157167531,2021-09-24 09:32:25,7636221.0,20210924,False,True,-4.2386,10.0,-10.0,2.4007,-10.0,0.0,-4.2386
000537.SZ,广宇发展,10.0,12,5.684071381361529,2021-09-24 09:35:25,3184840.0,20210924,False,False,-10.0,10.0,-10.0,3.2367,1.241,0.0,-6.7633
002153.SZ,石基信息,10.0,3,0.042462845010607264,2021-09-24 10:04:56,2359655.0,20210924,False,False,6.1366,-4.2545,-0.8355,-2.4129,4.3171,0.0,6.1366
600548.SH,深高速,10.0,2,4.040404040404035,2021-09-24 10:13:27,991576.0,20210924,False,False,-9.8497,10.0,-5.1347,0.7986,0.4401,0.0,-9.8497
603155.SH,新亚强,6.8222091,2,3.3668044890726536,2021-09-24 13:47:46,,20210924,False,False,-8.5153,10.0,2.033,4.2003,2.0672,-3.1777908999999998,-11.6930909
600032.SH,浙江新能,-3.29424902,4,9.994416527079839,2021-09-27 09:30:00,,20210927,True,False,3.6952,-10.0,0.8663,-8.5276,1.945,-13.29424902,-9.59904902
000880.SZ,潍柴重机,10.0,2,6.926829268292691,2021-09-28 09:32:45,841210.0,20210928,False,True,-10.0,-4.4335,-3.8144,-3.4298,-5.2164,0.0,-14.4335
000993.SZ,闽东电力,10.0,2,-3.27868852459016,2021-09-28 09:36:30,8011802.0,20210928,False,False,10.0,10.0,-0.4479,-6.0742,10.0,0.0,19.5521
603318.SH,水发燃气,3.87755102,2,9.999999999999984,2021-09-29 09:30:00,,20210929,True,False,-3.7328,3.0612,-9.703,-4.057,-10.0,-6.12244898,-9.855248979999999
000993.SZ,闽东电力,10.0,3,1.6260162601626031,2021-09-29 10:56:03,2541778.0,20210929,False,True,10.0,-0.4479,-6.0742,10.0,-10.0,0.0,9.5521
000993.SZ,闽东电力,10.0,4,1.0467980295566608,2021-09-30 09:31:45,3269498.0,20210930,False,True,-0.4479,-6.0742,10.0,-10.0,-7.7435,0.0,-0.4479
002865.SZ,钧达股份,-1.00121359,2,9.223300970873783,2021-09-30 09:39:00,,20210930,False,False,-10.0,-2.9963,-0.9477,10.0,3.9304,-11.00121359,-23.99751359
001217.SZ,华尔泰,10.0,2,10.018105009052505,2021-10-08 09:30:00,24580429.0,20211008,True,False,10.0,10.0,-10.0,-10.0,2.5741,0.0,2.5741
600268.SH,国电南自,10.0,2,10.048780487804873,2021-10-08 09:30:00,7370370.0,20211008,True,False,-10.0,-5.0246,-8.61,2.1566,-1.8889,0.0,-15.0246
000993.SZ,闽东电力,-0.44792833,5,6.550951847704377,2021-10-08 09:30:30,,20211008,False,True,-6.0742,10.0,-10.0,-7.7435,0.918,-10.44792833,-16.52212833
001217.SZ,华尔泰,10.0,3,9.983543609435,2021-10-11 09:30:00,25897100.0,20211011,True,False,10.0,-10.0,-10.0,2.5741,-0.4364,0.0,-7.4259
600071.SH,凤凰光学,10.0,2,9.983896940418678,2021-10-11 09:30:00,21541500.0,20211011,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605162.SH,新中港,10.0,2,10.000000000000002,2021-10-11 09:30:00,2088200.0,20211011,True,False,10.0,-3.4829,-10.0,-3.5326,0.0,0.0,6.5171
000695.SZ,滨海能源,10.0,2,4.553571428571443,2021-10-11 09:31:45,2946199.0,20211011,False,True,0.2435,-10.0,-3.4173,5.5866,-1.3228,0.0,0.2435
001217.SZ,华尔泰,10.0,4,10.024937655860338,2021-10-12 09:30:00,45625998.0,20211012,True,False,-10.0,-10.0,2.5741,-0.4364,3.4521,0.0,-17.4259
600071.SH,凤凰光学,10.0,3,10.004880429477797,2021-10-12 09:30:00,20118999.0,20211012,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000586.SZ,汇源通信,10.0,2,5.043859649122817,2021-10-12 09:31:00,1093800.0,20211012,False,True,10.0,-10.0,-4.5317,1.5823,0.5192,0.0,-4.5317
000695.SZ,滨海能源,0.24350649,3,5.681818181818176,2021-10-12 09:31:45,,20211012,False,False,-10.0,-3.4173,5.5866,-1.3228,-1.6979,-9.75649351,-23.17379351
603619.SH,中曼石油,10.0,2,2.0356234096692014,2021-10-12 09:43:45,463500.0,20211012,False,False,-10.0,-2.6992,10.0,1.2613,8.6595,0.0,-12.6992
603922.SH,金鸿顺,3.06748466,2,7.5979235488437915,2021-10-12 09:48:00,,20211012,False,False,5.9066,-0.4323,1.0421,6.0593,-2.1475,-6.93251534,-1.02591534
002612.SZ,朗姿股份,10.0,2,2.6716371543957735,2021-10-12 10:55:46,3351228.0,20211012,False,False,3.4454,5.2689,-3.9938,0.2161,-0.6739,0.0,3.4454
605162.SH,新中港,10.0,3,-7.402597402597406,2021-10-12 13:51:18,4177623.0,20211012,False,False,-3.4829,-10.0,-3.5326,0.0,3.8028,0.0,-3.4829
600071.SH,凤凰光学,10.0,4,9.982253771073648,2021-10-13 09:30:00,20972200.0,20211013,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000586.SZ,汇源通信,10.0,3,-6.281156530408764,2021-10-13 09:35:30,4485744.0,20211013,False,True,-10.0,-4.5317,1.5823,0.5192,-0.5165,0.0,-14.5317
605162.SH,新中港,-3.48288076,4,6.316410861865409,2021-10-13 10:08:16,,20211013,False,False,-10.0,-3.5326,0.0,3.8028,2.578,-13.48288076,-27.01548076
600071.SH,凤凰光学,10.0,5,10.004033884630902,2021-10-14 09:30:00,67044180.0,20211014,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600071.SH,凤凰光学,10.0,6,10.011001100110013,2021-10-15 09:30:00,50868554.0,20211015,True,False,10.0,10.0,10.0,10.0,-2.8005,0.0,37.1995
605567.SH,春雪食品,7.54414125,2,10.005350454788642,2021-10-15 09:30:00,,20211015,True,False,-10.0,-5.3621,-6.0164,1.3052,-0.7975,-2.45585875,-17.817958750000003
600661.SH,昂立教育,10.0,2,9.93843447669306,2021-10-15 09:30:15,1277561.0,20211015,False,True,10.0,-3.6337,-3.3183,-4.6022,-1.2265,0.0,6.3663
002529.SZ,海源复材,3.32434861,2,-2.9649595687331542,2021-10-15 09:36:46,,20211015,False,False,10.0,3.3202,4.5142,-0.9151,-4.6546,-6.6756513900000005,6.644548609999999
605577.SH,龙版传媒,-7.7682686,2,4.213298222514816,2021-10-15 09:38:16,,20211015,False,False,-2.9265,-1.9118,0.8246,-4.0892,-4.2636,-17.7682686,-20.6947686
600071.SH,凤凰光学,10.0,7,10.0,2021-10-18 09:30:00,17593728.0,20211018,True,False,10.0,10.0,10.0,-2.8005,2.3425,0.0,27.1995
600661.SH,昂立教育,10.0,3,5.995203836930456,2021-10-18 09:30:15,3066000.0,20211018,False,True,-3.6337,-3.3183,-4.6022,-1.2265,-0.3311,0.0,-3.6337
600071.SH,凤凰光学,10.0,8,9.999999999999991,2021-10-19 09:30:00,13709688.0,20211019,True,False,10.0,10.0,-2.8005,2.3425,2.5635,0.0,17.1995
600661.SH,昂立教育,-3.63372093,4,4.215116279069768,2021-10-19 09:31:46,,20211019,False,True,-3.3183,-4.6022,-1.2265,-0.3311,-1.2458,-13.633720929999999,-16.95202093
603105.SH,芯能科技,3.16139767,2,7.542983915696058,2021-10-19 09:43:46,,20211019,False,False,-5.3763,-4.0909,-3.6137,5.04,-2.6916,-6.8386023300000005,-12.214902330000001
600071.SH,凤凰光学,10.0,9,10.000000000000007,2021-10-20 09:30:00,1919435.0,20211020,True,False,10.0,-2.8005,2.3425,2.5635,-5.3336,0.0,7.1995000000000005
600995.SH,文山电力,10.0,2,9.958506224066381,2021-10-20 09:30:00,30941212.0,20211020,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
603045.SH,福达合金,10.0,2,10.000000000000007,2021-10-20 09:30:00,5954500.0,20211020,True,False,10.0,10.0,-2.2222,-10.0,-7.7778,0.0,17.7778
002922.SZ,伊戈尔,10.0,2,5.820105820105825,2021-10-20 09:31:00,3957730.0,20211020,False,True,10.0,-2.1463,10.0,-8.3456,10.0,0.0,7.8537
600277.SH,亿利洁能,10.0,2,2.7295285359801347,2021-10-20 13:09:07,21383355.0,20211020,False,False,10.0,-3.2854,10.0,-8.4942,-0.211,0.0,6.7146
600995.SH,文山电力,10.0,3,10.000000000000005,2021-10-21 09:30:00,38622193.0,20211021,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
603045.SH,福达合金,10.0,3,10.005379236148464,2021-10-21 09:30:00,5086260.0,20211021,True,False,10.0,-2.2222,-10.0,-7.7778,0.0,0.0,7.7778
001216.SZ,华瓷股份,10.0,2,9.97304582210243,2021-10-21 09:30:00,33383271.0,20211021,True,False,10.0,10.0,-10.0,-7.8178,-8.2367,0.0,2.1822
600277.SH,亿利洁能,10.0,3,4.063205417607238,2021-10-21 09:31:15,22373751.0,20211021,False,True,-3.2854,10.0,-8.4942,-0.211,-4.8626,0.0,-3.2854
600071.SH,凤凰光学,10.0,10,0.45078888054094596,2021-10-21 10:03:18,384927.0,20211021,False,False,-2.8005,2.3425,2.5635,-5.3336,-3.041,0.0,-2.8005
002922.SZ,伊戈尔,10.0,3,8.613904678618272,2021-10-21 10:05:48,3176200.0,20211021,False,False,-2.1463,10.0,-8.3456,10.0,6.9231,0.0,-2.1463
000829.SZ,天音控股,4.3158411,2,1.3732221677292846,2021-10-21 14:22:50,,20211021,False,False,3.197,-1.9134,-1.2541,1.1289,0.6977,-5.6841589,-2.4871589
