,Unnamed: 0,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
9,600381.SH,青海春天,2021-01-05 09:31:30,7.49736008,5,,9.926082365364302,20210105,False,True,-10.0,-9.4978,0.2413,-10.0,0.2674,-2.50263992,-22.00043992
27,002505.SZ,鹏都农牧,2021-01-06 09:30:30,5.88235294,2,,7.843137254901953,20210106,False,True,-9.8765,-4.1096,-0.3571,-0.7168,-5.7762,-4.11764706,-13.99414706
35,000718.SZ,苏宁环球,2021-01-07 09:30:15,10.0,2,23406912.0,7.5609756097561105,20210107,False,True,-2.8825,10.0,-6.8465,-9.5768,-7.1429,0.0,-2.8825
46,002164.SZ,宁波东力,2021-01-08 09:30:45,2.3943662,2,,9.154929577464792,20210108,False,True,10.0,10.0,0.0,-5.9091,-7.4879,-7.6056338,12.3943662
53,000570.SZ,苏常柴A,2021-01-11 09:30:30,10.0,2,6926173.0,8.024691358024684,20210111,False,True,0.9818,2.6389,-10.0,-10.0,-2.6711,0.0,0.9818
60,600793.SH,宜宾纸业,2021-01-12 09:30:15,10.0,4,6750792.0,7.916666666666661,20210112,False,True,10.0,10.0,10.0,10.0,10.0,0.0,50.0
66,002813.SZ,路畅科技,2021-01-13 09:32:30,10.0,2,969400.0,6.110154905335636,20210113,False,True,10.0,10.0,10.0,10.0,-7.9904,0.0,32.0096
73,002553.SZ,南方轴承,2021-01-14 09:30:30,10.0,3,7286264.0,7.840000000000003,20210114,False,True,-1.6727,-7.0266,-7.0008,5.5603,-0.6483,0.0,-1.6727
83,002305.SZ,南国置业,2021-01-15 09:30:30,10.0,2,21995887.0,8.490566037735835,20210115,False,True,9.8712,10.1563,10.0,-9.0323,-10.0,0.0,9.8712
93,002263.SZ,大东南,2021-01-18 09:30:30,10.0,2,37582923.0,9.309309309309311,20210118,False,True,-3.8251,10.0,-4.9096,-10.0,-6.9486,0.0,-3.8251
107,603500.SH,祥和实业,2021-01-19 09:30:45,10.0,3,2624640.0,6.3670411985018704,20210119,False,True,10.0,-10.0,-10.0,-10.0,-6.0272,0.0,-26.0272
126,000020.SZ,深华发A,2021-01-20 09:30:15,10.0,2,12685526.0,9.861751152073737,20210120,False,True,3.2663,-7.9481,-10.0,-10.0,-7.0652,0.0,3.2663
146,000020.SZ,深华发A,2021-01-21 09:30:15,3.26633166,3,,9.966499162479073,20210121,False,True,-7.9481,-10.0,-10.0,-7.0652,2.5731,-6.73366834,-14.68176834
161,605018.SH,长华股份,2021-01-22 09:30:15,10.0,2,2849600.0,10.032786885245908,20210122,False,True,10.0,10.0,10.0,-10.0,-10.0,0.0,10.0
175,603058.SH,永吉股份,2021-01-25 09:30:15,10.0,4,4399754.0,10.03039513677812,20210125,False,True,-10.0,-10.0,10.0,-10.0,-9.8851,0.0,-29.8851
191,002681.SZ,奋达科技,2021-01-26 09:32:45,0.0,2,,2.362204724409451,20210126,False,True,0.9843,-5.0682,-4.1068,4.9251,2.6531,-10.0,-9.0157
200,000691.SZ,亚太实业,2021-01-27 09:30:15,10.0,2,,9.747899159663866,20210127,False,True,-10.0,-10.0,-10.0,-5.4393,-3.7611,0.0,-35.4393
210,002529.SZ,海源复材,2021-01-28 09:30:15,-4.99359795,4,,4.993597951344427,20210128,False,True,-4.9865,-4.1135,1.0355,-4.0996,-3.2061,-14.99359795,-19.98009795
220,600576.SH,祥源文化,2021-01-29 09:30:15,10.0,3,7617800.0,10.093896713615038,20210129,False,True,10.0,-10.0,10.0,-10.0,-10.0,0.0,-10.0
228,600576.SH,祥源文化,2021-02-01 09:30:27,10.0,4,5372819.0,6.823027718550093,20210201,False,True,-10.0,10.0,-10.0,-10.0,-10.0,0.0,-30.0
236,002256.SZ,兆新股份,2021-02-02 09:30:45,4.86111111,3,10457296.0,4.166666666666671,20210202,False,True,-5.298,4.8951,5.3333,-1.2658,-4.4872,-5.13888889,-10.43688889
246,002445.SZ,中南文化,2021-02-03 09:31:00,0.55248619,2,,2.2099447513812174,20210203,False,True,-1.0989,2.2222,-1.087,-2.7473,1.6949,-9.44751381,-10.54641381
